COUNTRY,SERIES_CODE,INDICATOR,SCALE,UNIT,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Available_Year_Count,Missing_Year_Count,Missing_Year_Percentage,Historical_Average,Historical_Median,Historical_Minimum,Historical_Maximum,Historical_Standard_Deviation,Historical_Range,First_Year_Value,Latest_Year_Value,First_Year,Latest_Year,Absolute_Change,Percentage_Change,Previous_Year_Value,Latest_Year_Change,Latest_Year_Change_Percentage,CAGR_Percentage,Trend_Slope,Trend_Direction,Latest_Value_Status,Latest_Value_Log,Historical_Average_Log,Country_ID,Country_Record_Count,Indicator_ID,Indicator_Record_Count,Unit_ID,Unit_Record_Count,Scale_ID,Country_Indicator_Record_Count,Latest_Value_Outlier_Flag,Historical_Average_Outlier_Flag,Total_Missing_Values_Per_Row,Total_Available_Values_Per_Row,Missing_Value_Percentage_Per_Row
Costa Rica,CRI.PPPGDP.A,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Billions,Not Specified,10.299,10.139,10.837,12.13,12.604,13.569,14.568,15.599,17.13,18.41,19.464,21.739,23.834,25.443,27.055,27.923,29.96,32.444,34.268,36.377,38.494,40.428,43.006,46.116,49.454,54.714,60.813,64.922,64.752,69.052,73.579,78.609,81.941,86.322,90.304,94.995,100.717,106.835,117.296,111.991,123.332,139.318,151.396,161.489,173.643,45,0,0.0,58.606888888888896,43.006,10.139,173.643,45.060425410685134,163.504,10.299,173.643,1981,2025,163.344,1586.0180600058259,161.489,12.153999999999996,7.526209215488359,6.63093867387583,3.25218076416337,Increasing,Positive,5.162743890289289,4.08777115277587,41,42,22,197,2,1142,0,1,0,0,0,85,0.0
Guatemala,GTM.GGXWDG_NGDP.A,"Gross debt, General government, Percent of GDP",Units,Percent,12.017,10.6935,10.478,12.114,11.111,12.52,13.396,13.286,13.7585,14.4635,13.831,13.807,14.295,15.373,16.064,14.883,15.735,14.973,15.1875,17.999,19.11,17.362,19.803,20.553,20.017,20.86,20.779,19.57,22.78,24.006,23.769,24.557,25.035,24.697,24.77,24.906,25.07,26.405,26.414,31.491,30.585,28.983,27.208,26.322,27.179,45,0,0.0,19.51591111111111,19.57,10.478,31.491,5.968290793176819,21.012999999999998,12.017,27.179,1981,2025,15.161999999999999,126.17125738537072,26.322,0.8569999999999993,3.2558316237367957,1.872132113596714,0.44228234519104087,Increasing,Positive,3.338577019680488,3.021200736855865,68,39,13,193,3,3211,2,1,0,0,0,85,0.0
Dominican Republic,DOM.GGXWDG_NGDP.A,"Gross debt, General government, Percent of GDP",Units,Percent,12.017,10.6935,10.478,12.114,11.111,12.52,13.396,13.286,13.7585,14.4635,13.831,13.807,14.295,15.373,16.064,14.883,13.848,13.249,15.977,16.707,20.351,21.487,48.15,34.346,38.322,36.022,32.907,33.629,36.763,37.352,39.108,42.404,46.809,45.022,44.812,46.685,49.48,50.798,53.456,71.812,62.821,59.578,60.511,58.792,59.004,45,0,0.0,31.16205555555554,32.907,10.478,71.812,18.480971898397105,61.333999999999996,12.017,59.004,1981,2025,46.986999999999995,391.0044104185737,58.792,0.2119999999999962,0.3605932779969999,3.6827449011610502,1.3236719367588925,Increasing,Positive,4.094411226666644,3.4707873587966596,49,42,13,193,3,3211,2,1,0,0,0,85,0.0
Honduras,HND.LUR.A,Unemployment rate,Units,Not Specified,7.018,6.667,6.504,6.349,6.818,6.667,7.092,6.944,6.667,4.267,4.58,3.06,3.157,3.202,3.24,4.37,3.32,4.02,3.85,3.918,4.241,4.053,5.4,5.911,4.8,3.453,3.054,2.991,3.129,3.948,4.267,3.591,3.906,5.313,7.311,7.378,6.681,5.667,5.699,10.912,8.569,8.941,6.4,5.2,5.9,45,0,0.0,5.298333333333334,5.2,2.991,10.912,1.8262806963383753,7.921000000000001,7.018,5.9,1981,2025,-1.1179999999999994,-15.930464519806206,5.2,0.7000000000000002,13.461538461538463,-0.393600459912713,0.021153886693016766,Increasing,Positive,1.9315214116032138,1.8402850481333426,73,38,43,118,2,1142,2,1,0,0,0,85,0.0
Ecuador,ECU.NGDPPC.A,"Gross domestic product (GDP), Current prices, Per capita, Domestic currency",Units,Domestic currency,2005.704,1947.085,1664.708,1724.507,1964.321,1404.716,1280.021,1186.36,1136.258,1127.222,1236.273,1321.881,1511.298,1785.609,1902.883,1957.419,2165.066,2169.513,1536.21,1404.638,1823.704,2097.116,2358.041,2633.053,2960.733,3298.408,3533.67,4257.891,4111.478,4578.936,5209.999,5682.119,6144.123,6422.124,5975.078,5907.928,6220.968,6293.459,6199.031,5469.758,6084.743,6555.526,6772.859,6890.706,7198.575,45,0,0.0,3491.3715111111114,2358.041,1127.222,7198.575,2108.407865307694,6071.353,2005.704,7198.575,1981,2025,5192.871,258.9051525050556,6890.706,307.8689999999997,4.467887615579589,2.946876635800044,147.7872047430829,Increasing,Positive,8.881777275484161,8.158336300507639,50,40,20,197,0,2134,2,1,1,1,0,85,0.0
El Salvador,SLV.GGX_NGDP.A,"Expenditure, General government, Percent of GDP",Units,Percent,12.017,10.6935,10.478,12.114,11.111,12.52,13.396,13.286,13.7585,15.877,18.535,20.752,18.509,18.909,18.564,21.035,18.625,19.287,19.65,20.963,21.675,22.509,22.626,21.498,22.428,23.412,22.827,24.548,25.958,25.591,25.275,27.383,28.495,27.608,27.108,27.462,28.092,27.606,27.781,32.705,31.088,28.66,30.525,31.362,30.23,45,0,0.0,21.87848888888888,22.428,10.478,32.705,6.350151840962766,22.226999999999997,12.017,30.23,1981,2025,18.213,151.56028958974787,31.362,-1.131999999999998,-3.6094636821631205,2.1187527833634867,0.47165408432147565,Increasing,Positive,3.441379171294987,3.1301971192644804,52,40,8,197,3,3211,2,1,0,0,0,85,0.0
Dominican Republic,DOM.BCA_NGDPD.A,"Current account balance (credit less debit), Percent of GDP",Units,Percent,-4.015,-4.842,-4.417,-1.099,-1.656,-2.324,-4.384,-0.249,-3.81,-3.497,-1.591,-6.1,-4.074,-1.932,-1.099,-1.166,-0.814,-1.561,-1.939,-4.223,-2.894,-2.928,4.815,4.628,-1.316,-3.388,-4.916,-9.382,-4.77,-7.47,-7.514,-6.549,-4.1,-3.234,-1.802,-1.077,-0.168,-1.553,-1.331,-1.691,-2.825,-5.754,-3.658,-3.344,-1.188,45,0,0.0,-2.848911111111111,-2.894,-9.382,4.815,2.642379969082816,14.197,-4.015,-1.188,1981,2025,2.827,70.41095890410959,-3.344,2.1559999999999997,64.4736842105263,,-0.00631844532279285,Decreasing,Negative,,,49,42,4,196,3,3211,2,1,0,0,3,82,3.488372093023256
Dominican Republic,DOM.PCPI.A,"All Items, Consumer price index (CPI), Period average",Units,Index,1.144,1.232,1.301,1.563,2.272,2.446,2.777,3.995,5.619,8.455,12.436,12.965,13.646,14.773,16.625,17.523,18.977,19.894,21.181,22.817,24.844,26.142,33.317,50.463,52.577,56.559,60.034,66.424,67.382,71.647,77.708,80.579,84.472,87.005,87.733,89.149,92.073,95.355,97.081,100.752,109.056,118.666,124.345,128.451,133.426,45,0,0.0,49.264022222222216,33.317,1.144,133.426,42.19659817906959,132.28199999999998,1.144,133.426,1981,2025,132.28199999999998,11563.111888111887,128.451,4.974999999999994,3.873072222092467,11.422540266898285,3.1284783926218687,Increasing,Positive,4.901013861760503,3.917289557210651,49,42,2,197,1,590,2,1,0,0,0,85,0.0
Costa Rica,CRI.PPPSH.A,"Gross domestic product (GDP), Purchasing power parity (PPP) international dollar, percent of world GDP, Percent, ICP benchmarks 2017-2021",Units,Percent,0.069,0.064,0.064,0.066,0.065,0.066,0.067,0.066,0.067,0.067,0.067,0.066,0.069,0.07,0.071,0.069,0.07,0.073,0.073,0.072,0.073,0.074,0.074,0.074,0.073,0.075,0.077,0.078,0.078,0.078,0.079,0.08,0.079,0.079,0.08,0.08,0.081,0.081,0.083,0.08,0.079,0.08,0.081,0.082,0.083,45,0,0.0,0.07382222222222225,0.074,0.064,0.083,0.005966912133091989,0.019000000000000003,0.069,0.083,1981,2025,0.013999999999999999,20.289855072463762,0.082,0.0010000000000000009,1.2195121951219523,0.4207328404165045,0.00044031620553359704,Increasing,Positive,0.07973496801885356,0.07122445372814402,41,42,26,197,3,3211,2,1,0,0,0,85,0.0
El Salvador,SLV.LUR.A,Unemployment rate,Units,Not Specified,12.017,10.6935,10.478,12.114,11.111,12.52,13.396,10.154,9.074,10.0,8.7,9.441,10.04,7.844,7.744,7.844,8.143,7.444,6.546,6.845,7.105,6.376,7.065,6.925,7.344,6.745,6.446,6.046,7.444,7.145,6.745,6.246,6.046,7.145,7.145,7.145,7.195,6.496,6.486,7.045,6.336,5.05,5.216,4.654,4.203,45,0,0.0,7.865388888888885,7.145,4.203,13.396,2.1407243062934462,9.193000000000001,12.017,4.203,1981,2025,-7.813999999999999,-65.02454855621203,4.654,-0.4509999999999996,-9.690588740868062,-2.3592774114401305,-0.14071798418972317,Decreasing,Positive,1.6492353823081665,2.1821548064589704,52,40,43,118,2,1142,2,1,0,0,0,85,0.0
Dominican Republic,DOM.NGDPRPPPPC.A,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",Units,Not Specified,7477.776,7431.551,7595.383,7509.869,7176.199,7250.749,7792.611,7775.222,7941.53,7362.011,7304.211,7978.787,8411.455,8481.691,8816.34,9192.285,9853.358,10347.738,10799.857,11138.161,11258.765,11607.747,11297.161,11441.979,12366.889,13347.32,14177.132,14473.936,14462.466,15514.627,15840.181,16110.303,16726.109,17736.437,18791.84,19865.898,20456.28,21701.217,22560.728,20592.598,23284.164,24304.455,24635.245,25645.3,25975.222,45,0,0.0,13595.795177777776,11441.979,7176.199,25975.222,5983.214312114162,18799.023,7477.776,25975.222,1981,2025,18497.446000000004,247.36560710029298,25645.3,329.9220000000023,1.2864813435600375,2.8704428545310856,437.01292608695593,Increasing,Positive,10.16493686009664,9.517589395261817,49,42,16,195,2,1142,2,1,1,1,0,85,0.0
El Salvador,SLV.GGR.A,"Revenue, General government, Domestic currency",Billions,Domestic currency,12.017,10.6935,10.478,12.114,11.111,12.52,13.396,13.286,13.7585,0.735,0.852,0.957,1.142,1.38,1.64,1.757,1.702,1.788,1.87,2.064,2.055,2.154,2.436,2.572,2.786,3.199,3.488,3.732,3.399,3.805,4.22,5.042,5.286,5.33,5.502,5.892,6.386,6.479,6.643,6.121,7.423,8.279,8.747,9.482,10.216,45,0,0.0,5.687444444444447,5.042,0.735,13.7585,4.059370846939189,13.0235,12.017,10.216,1981,2025,-1.8010000000000002,-14.987101606058086,9.482,0.734,7.740982914996837,-0.3683363241113624,-0.04599558629776055,Decreasing,Positive,2.4173413302922344,1.9002318048148255,52,40,39,197,0,2134,0,1,0,0,0,85,0.0
Dominican Republic,DOM.TM_RPCH.A,"Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change",Units,Percent,12.017,10.6935,10.478,12.114,11.111,12.52,13.396,13.286,13.7585,14.4635,13.831,13.807,14.295,9.914,0.997,9.886,16.866,24.604,0.351,10.754,-2.349,3.816,-20.247,-7.738,16.915,15.564,6.97,4.323,-9.974,35.264,-0.473,2.285,-4.282,7.178,19.082,9.145,-4.452,6.296,5.234,-12.911,19.542,14.103,-2.075,5.545,-1.919,45,0,0.0,7.644099999999999,9.914,-20.247,35.264,10.151208315112942,55.511,12.017,-1.919,1981,2025,-13.936,-115.96904385453941,5.545,-7.464,-134.6077547339946,,-0.23202832674572058,Decreasing,Negative,,2.156877007295908,49,42,28,176,3,3211,2,1,0,0,2,83,2.3255813953488373
Ecuador,ECU.NGDPRPPPPC.A,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",Units,Not Specified,9570.76,9418.286,8905.57,9032.766,9185.022,9228.651,8462.321,9112.179,8917.882,8973.927,9219.58,9341.69,9325.566,9526.274,9557.73,9557.951,9815.052,9984.642,9373.515,9336.56,9575.231,9876.315,9982.386,10477.056,10849.686,11117.995,11125.178,11647.223,11567.025,11816.996,12585.093,13071.531,13767.201,14100.64,13879.056,13564.223,14151.05,14060.139,13857.017,12454.246,13559.634,14273.604,14437.8,14053.308,14466.546,45,0,0.0,11114.7134,9984.642,8462.321,14466.546,2050.4196347087586,6004.225,9570.76,14466.546,1981,2025,4895.786,51.15357610053955,14053.308,413.2379999999994,2.9405034031844983,0.9433448803010114,145.09321976284565,Increasing,Positive,9.579663212983288,9.316115007874384,50,40,16,195,2,1142,2,1,1,1,0,85,0.0
Ecuador,ECU.NGDPDPC.A,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,US dollar,2005.704,1947.085,1664.708,1724.507,1964.321,1404.716,1280.021,1186.36,1136.258,1127.222,1236.273,1321.881,1511.298,1785.609,1902.883,1957.419,2165.066,2169.513,1536.21,1404.638,1823.704,2097.116,2358.041,2633.053,2960.733,3298.408,3533.67,4257.891,4111.478,4578.936,5209.999,5682.119,6144.123,6422.124,5975.078,5907.928,6220.968,6293.459,6199.031,5469.758,6084.743,6555.526,6772.859,6890.706,7198.575,45,0,0.0,3491.3715111111114,2358.041,1127.222,7198.575,2108.407865307694,6071.353,2005.704,7198.575,1981,2025,5192.871,258.9051525050556,6890.706,307.8689999999997,4.467887615579589,2.946876635800044,147.7872047430829,Increasing,Positive,8.881777275484161,8.158336300507639,50,40,21,197,4,590,2,1,1,1,0,85,0.0
Ecuador,ECU.PCPI.A,"All Items, Consumer price index (CPI), Period average",Units,Index,0.059,0.069,0.102,0.134,0.172,0.211,0.273,0.432,0.76,1.128,1.679,2.591,3.757,4.788,5.884,7.32,9.56,13.011,19.803,38.833,53.463,60.138,64.907,66.686,68.133,70.38,71.982,78.029,82.055,84.972,88.774,93.303,95.842,99.282,103.22,105.004,105.442,105.206,105.486,105.129,105.269,108.917,111.331,113.053,113.857,45,0,0.0,52.67613333333332,64.907,0.059,113.857,45.26304247426673,113.798,0.059,113.857,1981,2025,113.798,192877.96610169494,113.053,0.804000000000002,0.7111708667616092,18.760120644503964,3.322733860342554,Increasing,Positive,4.743687876341785,3.9829684582756686,50,40,2,197,1,590,2,1,0,0,0,85,0.0
El Salvador,SLV.GGSB.A,"Structural balance, General government, Domestic currency",Billions,Domestic currency,12.017,10.6935,10.478,12.114,11.111,12.52,13.396,13.286,13.7585,14.4635,13.831,13.807,14.295,15.373,16.064,14.883,15.735,14.973,15.1875,-0.212,-0.2,-0.245,-0.307,-0.345,-0.491,-0.593,-0.443,-0.748,-1.105,-0.855,-0.908,-0.839,-0.998,-0.894,-0.845,-0.77,-0.676,-0.801,-0.991,-1.574,-1.688,-0.943,-1.707,-1.684,-1.163,45,0,0.0,5.243577777777778,-0.307,-1.707,16.064,7.294101803041366,17.771,12.017,-1.163,1981,2025,-13.18,-109.67795622867604,-1.684,0.5209999999999999,30.93824228028503,,-0.45847971014492733,Decreasing,Negative,,1.8315533798956107,52,40,41,87,0,2134,0,1,0,0,2,83,2.3255813953488373
Ecuador,ECU.PCPIE.A,"All Items, Consumer price index (CPI), End-of-period (EoP)",Units,Index,0.062,0.077,0.118,0.147,0.183,0.233,0.308,0.573,0.883,1.32,1.967,3.152,4.16,5.217,6.405,8.039,10.508,15.068,24.214,46.25,56.62,61.92,65.68,66.96,69.057,71.038,73.396,79.878,83.322,86.095,90.752,94.531,97.084,100.644,104.046,105.211,105.004,105.283,105.215,104.233,106.256,110.227,111.715,112.306,114.457,45,0,0.0,53.55142222222222,65.68,0.062,114.457,45.291013552002525,114.395,0.062,114.457,1981,2025,114.395,184508.06451612903,112.306,2.1509999999999962,1.9153028333303619,18.640500390911296,3.326119367588931,Increasing,Positive,4.7488981662707985,3.9991437838406294,50,40,0,196,1,590,2,1,0,0,0,85,0.0
Ecuador,ECU.PCPIEPCH.A,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Units,Percent,17.3,24.4,52.5,25.1,24.4,27.3,32.5,85.7,54.2,49.5,49.0,60.2,32.0,25.383,22.774,25.527,30.7,43.4,60.7,91.005,22.422,9.361,6.072,1.949,3.132,2.869,3.319,8.832,4.312,3.328,5.409,4.164,2.701,3.667,3.38,1.12,-0.197,0.266,-0.065,-0.933,1.941,3.737,1.35,0.529,1.915,45,0,0.0,20.625977777777777,8.832,-0.933,91.005,23.7382228220542,91.938,17.3,1.915,1981,2025,-15.385000000000002,-88.9306358381503,0.529,1.3860000000000001,262.0037807183365,-4.879195368358646,-1.2074569169960454,Decreasing,Positive,1.0698698198024557,3.0738952669531225,50,40,1,196,3,3211,2,1,0,0,0,85,0.0
Ecuador,ECU.NGDP_FY.A,"Gross domestic product (GDP), Current prices, Fiscal year, Domestic currency",Billions,Domestic currency,16.501,16.474,14.478,15.408,18.02,13.222,12.355,11.749,11.531,11.71,13.139,14.367,16.783,20.238,21.98,23.001,25.847,26.292,18.891,17.531,23.127,27.054,30.965,35.195,40.279,45.691,49.849,61.139,60.095,68.151,78.987,87.735,96.57,102.718,97.21,97.671,104.467,107.479,107.596,95.865,107.179,116.133,120.793,123.802,130.321,45,0,0.0,52.34640000000002,30.965,11.531,130.321,40.56811580842096,118.78999999999999,16.501,130.321,1981,2025,113.82,689.7763771892611,123.802,6.518999999999991,5.265666144327224,4.808817559347367,2.8952359683794446,Increasing,Positive,4.877644707590691,3.976806496558119,50,40,19,197,0,2134,0,1,0,0,0,85,0.0
El Salvador,SLV.PCPIE.A,"All Items, Consumer price index (CPI), End-of-period (EoP)",Units,Index,6.793,7.705,8.842,9.708,12.812,16.699,19.972,23.616,29.162,34.8,38.22,45.84,51.38,55.95,62.32,66.9,68.19,71.07,70.34,73.36,74.4,76.48,78.41,82.62,86.14,90.34,94.73,99.92,100.0,102.13,107.29,108.13,108.98,109.5,110.61,109.58,111.81,112.3,112.29,112.2,119.06,127.77,129.34,129.71,130.89,45,0,0.0,75.51797777777779,78.41,6.793,130.89,39.012046270985266,124.09699999999998,6.793,130.89,1981,2025,124.09699999999998,1826.8364492860294,129.71,1.1799999999999784,0.9097216868398569,6.954982104253626,2.918587351778655,Increasing,Positive,4.881968241837793,4.337525716854544,52,40,0,196,1,590,2,1,0,0,0,85,0.0
Dominican Republic,DOM.NGDP_RPCH.A,"Gross domestic product (GDP), Constant prices, Percent change",Units,Percent,4.279,1.7,4.628,1.253,-2.123,3.522,10.117,2.156,4.401,-5.454,0.945,11.237,7.367,2.594,5.7,5.961,8.9,6.706,5.957,4.652,2.469,4.487,-1.349,2.586,9.432,9.171,7.418,3.268,1.003,8.401,3.192,2.776,4.935,7.111,6.988,6.72,3.934,7.098,4.894,-7.929,14.012,5.238,2.192,4.954,2.117,45,0,0.0,4.435911111111111,4.628,-7.929,14.012,4.0210100484954046,21.941000000000003,4.279,2.117,1981,2025,-2.162,-50.52582379060529,4.954,-2.8369999999999997,-57.266855066612834,-1.5866402652523814,0.033482476943345434,Increasing,Positive,1.1368710007852,1.693027144262472,49,42,17,197,3,3211,2,1,0,0,0,85,0.0
Ecuador,ECU.GGX_NGDP.A,"Expenditure, General government, Percent of GDP",Units,Percent,12.017,10.6935,10.478,12.114,11.111,12.52,13.396,13.286,13.7585,14.4635,13.831,13.807,14.295,15.373,21.952,22.735,21.963,21.532,24.129,24.259,21.391,22.774,21.271,21.29,22.045,21.729,24.686,35.593,34.296,35.396,39.615,43.169,46.73,45.934,44.088,44.128,40.486,40.925,39.753,40.2,37.457,38.853,39.569,38.341,38.386,45,0,0.0,26.573744444444447,22.735,10.478,46.73,12.06590870142658,36.251999999999995,12.017,38.386,1981,2025,26.369000000000003,219.43080635766003,38.341,0.045000000000001705,0.1173678307816742,2.6746211445455303,0.8499573122529654,Increasing,Positive,3.6734104232100044,3.316864031716515,50,40,8,197,3,3211,2,1,0,0,0,85,0.0
El Salvador,SLV.GGXWDG.A,"Gross debt, General government, Domestic currency",Billions,Domestic currency,12.017,10.6935,10.478,12.114,11.111,12.52,13.396,13.286,13.7585,14.4635,2.276,2.114,2.129,2.346,2.502,2.737,2.841,2.806,3.159,3.483,4.648,5.547,6.087,6.425,6.803,8.409,8.88,9.751,11.578,12.322,13.306,14.969,15.318,16.22,17.219,18.195,19.268,20.026,20.942,23.766,25.545,26.661,28.77,30.898,32.508,45,0,0.0,12.317588888888892,12.017,2.114,32.508,8.265547571841427,30.394000000000002,12.017,32.508,1981,2025,20.491000000000003,170.51676791212452,30.898,1.610000000000003,5.210693248753975,2.2875073109617006,0.41888076416337233,Increasing,Positive,3.5117842162915633,2.589085634379488,52,40,12,194,0,2134,0,1,0,0,0,85,0.0
El Salvador,SLV.PCPIEPCH.A,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Units,Percent,11.68,13.428,14.753,9.798,31.964,30.34,19.599,18.247,23.486,19.333,9.828,19.937,12.086,8.895,11.385,7.349,1.928,4.223,-1.027,4.293,1.418,2.796,2.524,5.369,4.26,4.876,4.859,5.479,0.08,2.13,5.052,0.783,0.786,0.477,1.014,-0.931,2.035,0.438,-0.009,-0.08,6.114,7.316,1.229,0.286,0.91,45,0,0.0,7.349688888888888,4.859,-1.027,31.964,8.256968769751186,32.991,11.68,0.91,1981,2025,-10.77,-92.20890410958904,0.286,0.6240000000000001,218.18181818181824,-5.635409860104357,-0.46401844532279274,Decreasing,Positive,0.6471032420585384,2.122224279352935,52,40,1,196,3,3211,2,1,0,0,0,85,0.0
Ecuador,ECU.NGDP_R.A,"Gross domestic product (GDP), Constant prices, Domestic currency",Billions,Domestic currency,35.245,35.668,34.669,36.125,37.715,38.882,36.56,40.393,40.508,41.727,43.86,45.445,46.354,48.328,49.417,50.273,52.448,54.162,51.595,52.158,54.352,57.03,58.676,62.684,66.069,68.937,70.248,74.86,75.677,78.726,85.403,90.342,96.857,100.95,101.071,100.375,106.368,107.479,107.657,97.704,106.909,113.183,115.258,113.017,117.228,45,0,0.0,68.85759999999999,58.676,34.669,117.228,27.786952140266383,82.559,35.245,117.228,1981,2025,81.983,232.6088806922968,113.017,4.2109999999999985,3.725988125680206,2.7690005028037312,2.0608447957839244,Increasing,Positive,4.772614963551615,4.246458884365427,50,40,14,196,0,2134,0,1,0,0,0,85,0.0
Dominican Republic,DOM.GGSB.A,"Structural balance, General government, Domestic currency",Billions,Domestic currency,12.017,10.6935,10.478,12.114,11.111,12.52,13.396,13.286,13.7585,14.4635,13.831,13.807,14.295,15.373,16.064,14.883,-2.854,-1.271,-5.312,-6.11,-5.585,-10.316,-38.734,-52.913,-26.353,-24.983,-19.687,-86.672,-65.533,-79.197,-100.409,-179.446,-141.459,-150.982,-147.598,-142.808,-149.875,-155.164,-155.065,-383.381,-249.755,-223.781,-306.716,-408.947,-307.553,45,0,0.0,-75.9193,-19.687,-408.947,16.064,114.90820433944614,425.011,12.017,-307.553,1981,2025,-319.57,-2659.3159690438547,-408.947,101.394,24.793921950766237,,-7.550028722002635,Decreasing,Negative,,,49,42,41,87,0,2134,0,1,0,0,3,82,3.488372093023256
Costa Rica,CRI.PPPPC.A,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Units,Not Specified,4341.905,4149.94,4309.931,4687.279,4727.596,4941.069,5158.699,5377.451,5754.032,6035.128,6235.116,6812.141,7277.595,7544.004,7797.416,7833.291,8193.518,8658.667,8929.348,9547.188,9737.003,10050.676,10524.19,11107.53,11732.177,12787.714,14011.001,14741.221,14487.944,15163.128,15951.569,16822.175,17312.577,18011.356,18615.89,19350.081,20279.603,21272.156,23110.805,21837.313,23809.0,26641.793,28683.678,30325.932,32335.01,45,0,0.0,13044.729688888889,10524.19,4149.94,32335.01,7728.057914665567,28185.07,4341.905,32335.01,1981,2025,27993.105,644.7194261505031,30325.932,2009.0779999999977,6.624950553869202,4.668985670781001,563.6882391304342,Increasing,Positive,10.383936748896199,9.476216132295367,41,42,24,197,2,1142,2,1,1,1,0,85,0.0
Dominican Republic,DOM.NGDPD.A,"Gross domestic product (GDP), Current prices, US dollar",Billions,US dollar,9.698,9.141,9.461,14.87,6.496,7.891,8.305,7.605,8.589,7.995,9.887,11.605,13.081,14.645,16.637,18.242,20.017,21.672,22.137,24.306,25.602,27.249,21.518,22.506,35.948,37.998,44.067,48.174,48.281,53.862,58.006,60.627,62.631,67.098,71.056,75.625,79.153,85.068,89.237,78.625,95.067,113.813,120.794,124.613,127.895,45,0,0.0,43.03984444444445,25.602,6.496,127.895,36.18860926951485,121.399,9.698,127.895,1981,2025,118.197,1218.777067436585,124.613,3.2819999999999965,2.6337541027019626,6.037246218061898,2.573576021080365,Increasing,Positive,4.858998119433296,3.7850947797057444,49,42,23,197,4,590,0,1,0,0,0,85,0.0
Dominican Republic,DOM.GGR.A,"Revenue, General government, Domestic currency",Billions,Domestic currency,12.017,10.6935,10.478,12.114,11.111,12.52,13.396,13.286,13.7585,14.4635,13.831,13.807,14.295,15.373,16.064,14.883,35.132,39.219,44.212,52.05,60.522,67.785,81.605,128.549,160.202,192.528,242.126,250.104,230.03,259.362,285.15,322.888,368.688,416.823,533.683,483.73,531.482,601.12,656.783,632.252,841.185,955.7,1071.874,1212.473,1244.452,45,0,0.0,271.41776666666664,81.605,10.478,1244.452,347.33976128596134,1233.974,12.017,1244.452,1981,2025,1232.435,10255.762669551468,1212.473,31.979000000000042,2.637502030973064,11.121883220329654,22.923333069828672,Increasing,Positive,7.1272537952201365,5.607336794860147,49,42,39,197,0,2134,0,1,1,0,0,85,0.0
Ecuador,ECU.NGSD_NGDP.A,"Gross national savings, Percent of GDP",Units,Percent,15.407,17.254,14.726,14.05,17.977,14.629,10.954,14.389,13.369,12.742,14.496,17.703,16.109,15.731,13.467,16.537,16.242,14.012,20.86,23.514,16.108,15.15,14.524,14.888,18.641,21.926,22.102,24.46,21.694,21.168,23.026,22.846,23.917,24.055,20.402,21.159,22.093,21.007,20.543,19.678,23.587,24.359,22.719,25.196,25.425,45,0,0.0,18.77424444444444,18.641,10.954,25.425,4.086389355117323,14.471,15.407,25.425,1981,2025,10.018,65.02239241903031,25.196,0.2289999999999992,0.9088744245118241,1.144938890522429,0.24976034255599402,Increasing,Positive,3.2743105317563015,2.984380305310359,50,40,27,172,3,3211,2,1,0,0,0,85,0.0
El Salvador,SLV.PCPI.A,"All Items, Consumer price index (CPI), Period average",Units,Index,6.325,7.065,7.992,8.927,10.92,14.408,17.988,21.545,25.348,32.52,37.206,41.381,49.038,54.228,59.668,65.509,68.451,70.196,70.556,72.16,74.863,76.262,77.879,81.347,85.162,88.598,92.656,99.381,99.915,101.093,106.278,108.117,108.936,110.179,109.373,110.034,111.15,112.359,112.443,112.027,115.912,124.253,129.281,130.385,130.721,45,0,0.0,74.44522222222223,77.879,6.325,130.721,39.463684644521244,124.396,6.325,130.721,1981,2025,124.396,1966.7351778656125,130.385,0.33600000000001273,0.25769835487211934,7.125493860764731,2.9515180500658764,Increasing,Positive,4.88068604934087,4.323406859447687,52,40,2,197,1,590,2,1,0,0,0,85,0.0
